[28/Jul/2026 18:06:57] "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[28/Jul/2026 18:26:42] "GET / HTTP/1.1" 200 20930
[28/Jul/2026 18:26:42] "GET /static/css/base.css HTTP/1.1" 304 0
[28/Jul/2026 18:26:42] "GET /static/catalog/css/home.css HTTP/1.1" 304 0
[28/Jul/2026 18:26:42] "GET /media/book_covers/images_Ov4eKOi.jpg HTTP/1.1" 304 0
[28/Jul/2026 18:26:42] "GET /media/book_covers/images_2.jpg HTTP/1.1" 304 0
[28/Jul/2026 18:26:42] "GET /media/book_covers/images_1.jpg HTTP/1.1" 304 0
[28/Jul/2026 18:26:42] "GET /media/book_covers/images_3.jpg HTTP/1.1" 304 0
[28/Jul/2026 18:26:43] "GET /media/book_covers/images_4.jpg HTTP/1.1" 304 0
[28/Jul/2026 18:26:43] "GET /media/book_covers/images_5.jpg HTTP/1.1" 304 0
[28/Jul/2026 18:27:04] "GET /admin/ HTTP/1.1" 200 13621
[28/Jul/2026 18:27:11] "GET /admin/catalog/book/add/ HTTP/1.1" 200 17477
[28/Jul/2026 18:27:11] "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[28/Jul/2026 18:27:21] "GET /admin/catalog/author/add/?_to_field=id&_popup=1 HTTP/1.1" 200 4952
[28/Jul/2026 18:27:21] "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[28/Jul/2026 18:27:28] "POST /admin/catalog/author/add/?_to_field=id&_popup=1 HTTP/1.1" 200 327
[28/Jul/2026 18:27:28] "GET /static/admin/js/popup_response.js HTTP/1.1" 200 532
[28/Jul/2026 18:27:41] "POST /admin/catalog/book/add/ HTTP/1.1" 302 0
[28/Jul/2026 18:27:41] "GET /admin/catalog/book/ HTTP/1.1" 200 18073
[28/Jul/2026 18:27:41] "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[28/Jul/2026 18:27:41] "GET /static/admin/img/icon-yes-dark.svg HTTP/1.1" 200 558
[28/Jul/2026 18:27:46] "GET /admin/catalog/category/ HTTP/1.1" 200 14285
[28/Jul/2026 18:27:46] "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[28/Jul/2026 18:27:50] "GET /admin/catalog/author/ HTTP/1.1" 200 13990
[28/Jul/2026 18:27:50] "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[28/Jul/2026 18:34:55] "GET / HTTP/1.1" 200 23314
[28/Jul/2026 18:35:05] "GET / HTTP/1.1" 200 23314
[28/Jul/2026 18:35:05] "GET /static/css/base.css HTTP/1.1" 304 0
[28/Jul/2026 18:35:05] "GET /media/book_covers/images_Ov4eKOi.jpg HTTP/1.1" 304 0
[28/Jul/2026 18:35:05] "GET /media/book_covers/images_2.jpg HTTP/1.1" 304 0
[28/Jul/2026 18:35:05] "GET /static/catalog/css/home.css HTTP/1.1" 304 0
[28/Jul/2026 18:35:05] "GET /media/book_covers/images_1.jpg HTTP/1.1" 304 0
[28/Jul/2026 18:35:05] "GET /media/book_covers/images_5.jpg HTTP/1.1" 304 0
[28/Jul/2026 18:35:05] "GET /media/book_covers/images_3.jpg HTTP/1.1" 304 0
[28/Jul/2026 18:35:05] "GET /media/book_covers/images_4.jpg HTTP/1.1" 304 0
[28/Jul/2026 18:35:16] "GET /admin/ HTTP/1.1" 200 13511
[28/Jul/2026 18:35:23] "GET /admin/catalog/book/add/ HTTP/1.1" 200 17515
[28/Jul/2026 18:35:23] "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[28/Jul/2026 18:35:29] "GET /admin/catalog/author/add/?_to_field=id&_popup=1 HTTP/1.1" 200 4952
[28/Jul/2026 18:35:29] "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[28/Jul/2026 18:35:34] "POST /admin/catalog/author/add/?_to_field=id&_popup=1 HTTP/1.1" 200 325
[28/Jul/2026 18:35:34] "GET /static/admin/js/popup_response.js HTTP/1.1" 200 532
[28/Jul/2026 18:35:38] "GET /admin/catalog/category/add/?_to_field=id&_popup=1 HTTP/1.1" 200 4329
[28/Jul/2026 18:35:38] "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[28/Jul/2026 18:35:41] "POST /admin/catalog/category/add/?_to_field=id&_popup=1 HTTP/1.1" 200 328
[28/Jul/2026 18:35:46] "POST /admin/catalog/book/add/ HTTP/1.1" 302 0
[28/Jul/2026 18:35:46] "GET /admin/catalog/book/ HTTP/1.1" 200 18617
[28/Jul/2026 18:35:46] "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[28/Jul/2026 18:36:31] "POST /admin/catalog/book/ HTTP/1.1" 200 10548
[28/Jul/2026 18:36:32] "POST /admin/catalog/book/ HTTP/1.1" 302 0
[28/Jul/2026 18:36:32] "GET /admin/catalog/book/ HTTP/1.1" 200 17692
[28/Jul/2026 18:36:32] "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[28/Jul/2026 18:36:35] "GET /admin/catalog/author/ HTTP/1.1" 200 14275
[28/Jul/2026 18:36:35] "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[28/Jul/2026 18:36:42] "POST /admin/catalog/author/ HTTP/1.1" 200 10561
[28/Jul/2026 18:36:43] "POST /admin/catalog/author/ HTTP/1.1" 302 0
[28/Jul/2026 18:36:43] "GET /admin/catalog/author/ HTTP/1.1" 200 13838
[28/Jul/2026 18:36:43] "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[28/Jul/2026 18:36:52] "GET /admin/catalog/book/ HTTP/1.1" 200 17431
[28/Jul/2026 18:36:52] "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[28/Jul/2026 22:39:32] "GET / HTTP/1.1" 200 20930
[28/Jul/2026 22:39:32] "GET /static/catalog/css/home.css HTTP/1.1" 304 0
[28/Jul/2026 22:39:32] "GET /static/css/base.css HTTP/1.1" 304 0
[28/Jul/2026 22:39:32] "GET /media/book_covers/images_1.jpg HTTP/1.1" 304 0
[28/Jul/2026 22:39:32] "GET /media/book_covers/images_Ov4eKOi.jpg HTTP/1.1" 304 0
[28/Jul/2026 22:39:32] "GET /media/book_covers/images_2.jpg HTTP/1.1" 304 0
[28/Jul/2026 22:39:32] "GET /media/book_covers/images_3.jpg HTTP/1.1" 304 0
[28/Jul/2026 22:39:32] "GET /media/book_covers/images_4.jpg HTTP/1.1" 304 0
[28/Jul/2026 22:39:32] "GET /media/book_covers/images_5.jpg HTTP/1.1" 304 0
